timestamp,nodeId,pktId,seqno,mcs
1678283426.201593,6,1059002,2605,5
1678283426.201593,6,1059003,2605,5
1678283426.201593,6,1059004,2605,5
1678283426.201593,6,1059005,2605,5
1678283426.201593,6,1059006,2605,5
1678283426.201593,6,1059007,2605,5
1678283426.201593,6,1059008,2605,5
1678283426.201593,6,1059009,2605,5
1678283426.201731,6,1059010,2628,5
1678283426.201731,6,1059011,2628,5
1678283426.201731,6,1059012,2628,5
1678283426.201731,6,1059013,2628,5
1678283426.201731,6,1059014,2628,5
1678283426.201731,6,1059015,2628,5
1678283426.201731,6,1059016,2628,5
1678283426.201731,6,1059017,2628,5
1678283426.201731,6,1059018,2628,5
1678283426.201731,6,1059019,2628,5
1678283426.201802,6,1059020,2645,5
1678283426.201802,6,1059021,2645,5
1678283426.201802,6,1059022,2645,5
1678283426.201802,6,1059023,2645,5
1678283426.201802,6,1059024,2645,5
1678283426.201802,6,1059025,2645,5
1678283426.201802,6,1059026,2645,5
1678283426.201802,6,1059027,2645,5
1678283426.201802,6,1059028,2645,5
1678283426.201802,6,1059029,2645,5
1678283426.213612,6,1059030,2668,5
1678283426.213612,6,1059031,2668,5
1678283426.213612,6,1059032,2668,5
1678283426.213612,6,1059033,2668,5
1678283426.213612,6,1059034,2668,5
1678283426.213612,6,1059035,2668,5
1678283426.213612,6,1059036,2668,5
1678283426.213612,6,1059037,2668,5
1678283426.213612,6,1059038,2668,5
1678283426.213612,6,1059039,2668,5
1678283426.213731,6,1059040,2686,5
1678283426.213731,6,1059041,2686,5
1678283426.213731,6,1059042,2686,5
1678283426.213731,6,1059043,2686,5
1678283426.213731,6,1059044,2686,5
1678283426.213731,6,1059045,2686,5
1678283426.213731,6,1059046,2686,5
1678283426.213731,6,1059047,2686,5
1678283426.213731,6,1059048,2686,5
1678283426.213731,6,1059049,2686,5
1678283426.225587,6,1059050,2705,5
1678283426.225587,6,1059051,2705,5
1678283426.225587,6,1059052,2705,5
1678283426.225587,6,1059053,2705,5
1678283426.225587,6,1059054,2705,5
1678283426.225587,6,1059055,2705,5
1678283426.225587,6,1059056,2705,5
1678283426.225587,6,1059057,2705,5
1678283426.225587,6,1059058,2705,5
1678283426.225587,6,1059059,2705,5
1678283426.225706,6,1059060,2722,5
1678283426.225706,6,1059061,2722,5
1678283426.225706,6,1059062,2722,5
1678283426.225706,6,1059063,2722,5
1678283426.225706,6,1059064,2722,5
1678283426.225706,6,1059065,2722,5
1678283426.225706,6,1059066,2722,5
1678283426.225706,6,1059067,2722,5
1678283426.225706,6,1059068,2722,5
1678283426.225706,6,1059069,2722,5
1678283426.225808,6,1059070,2741,5
1678283426.225808,6,1059071,2741,5
1678283426.225808,6,1059072,2741,5
1678283426.225808,6,1059073,2741,5
1678283426.225808,6,1059074,2741,5
1678283426.225808,6,1059075,2741,5
1678283426.225808,6,1059076,2741,5
1678283426.225808,6,1059077,2741,5
1678283426.225808,6,1059078,2741,5
1678283426.225808,6,1059079,2741,5
1678283426.237595,6,1059080,2763,5
1678283426.237595,6,1059081,2763,5
1678283426.237595,6,1059082,2763,5
1678283426.237595,6,1059083,2763,5
1678283426.237595,6,1059084,2763,5
1678283426.237595,6,1059085,2763,5
1678283426.237595,6,1059086,2763,5
1678283426.237595,6,1059087,2763,5
1678283426.237595,6,1059088,2763,5
1678283426.237595,6,1059089,2763,5
1678283426.237705,6,1059090,2779,5
1678283426.237705,6,1059091,2779,5
1678283426.237705,6,1059092,2779,5
1678283426.237705,6,1059093,2779,5
1678283426.237705,6,1059094,2779,5
1678283426.237705,6,1059095,2779,5
1678283426.237705,6,1059096,2779,5
1678283426.237705,6,1059097,2779,5
1678283426.237705,6,1059098,2779,5
1678283426.237705,6,1059099,2779,5
1678283426.237777,6,1059100,2799,5
1678283426.237777,6,1059101,2799,5
1678283426.237777,6,1059102,2799,5
1678283426.237777,6,1059103,2799,5
1678283426.237777,6,1059104,2799,5
1678283426.237777,6,1059105,2799,5
1678283426.237777,6,1059106,2799,5
1678283426.237777,6,1059107,2799,5
1678283426.237777,6,1059108,2799,5
1678283426.237777,6,1059109,2799,5
1678283426.249578,6,1059110,2822,5
1678283426.249578,6,1059111,2822,5
1678283426.249578,6,1059112,2822,5
1678283426.249578,6,1059113,2822,5
1678283426.249578,6,1059114,2822,5
1678283426.249578,6,1059115,2822,5
1678283426.249578,6,1059116,2822,5
1678283426.249578,6,1059117,2822,5
1678283426.249578,6,1059118,2822,5
1678283426.249578,6,1059119,2822,5
1678283426.249715,6,1059120,2843,5
1678283426.249715,6,1059121,2843,5
1678283426.249715,6,1059122,2843,5
1678283426.249715,6,1059123,2843,5
1678283426.249715,6,1059124,2843,5
1678283426.249715,6,1059125,2843,5
